Date,LMP,HUB
1/3/2023 9:00:00 AM,34.31,ARKANSAS.HUB
1/3/2023 9:00:00 AM,36.42,LOUISIANA.HUB
1/3/2023 9:00:00 AM,38.45,MICHIGAN.HUB
1/3/2023 9:00:00 AM,35.65,MINN.HUB
1/3/2023 9:00:00 AM,35.96,MS.HUB
1/3/2023 9:00:00 AM,36.56,ILLINOIS.HUB
1/3/2023 9:00:00 AM,38.15,INDIANA.HUB
1/3/2023 10:00:00 AM,34.78,ILLINOIS.HUB
1/3/2023 10:00:00 AM,36.32,INDIANA.HUB
1/3/2023 10:00:00 AM,32.85,LOUISIANA.HUB
1/3/2023 10:00:00 AM,36.35,MICHIGAN.HUB
1/3/2023 10:00:00 AM,34.75,MINN.HUB
1/3/2023 10:00:00 AM,32.38,MS.HUB
1/3/2023 10:00:00 AM,31.5,TEXAS.HUB
1/3/2023 10:00:00 AM,30.99,ARKANSAS.HUB
1/3/2023 11:00:00 AM,31.76,ILLINOIS.HUB
1/3/2023 11:00:00 AM,33.1,INDIANA.HUB
1/3/2023 11:00:00 AM,31.96,LOUISIANA.HUB
1/3/2023 11:00:00 AM,32.95,MICHIGAN.HUB
1/3/2023 11:00:00 AM,32.34,MINN.HUB
1/3/2023 11:00:00 AM,31.43,MS.HUB
1/3/2023 11:00:00 AM,30.87,TEXAS.HUB
1/3/2023 11:00:00 AM,30.24,ARKANSAS.HUB
1/3/2023 12:00:00 PM,31.23,LOUISIANA.HUB
1/3/2023 12:00:00 PM,32.03,MICHIGAN.HUB
1/3/2023 12:00:00 PM,31.32,MINN.HUB
1/3/2023 12:00:00 PM,30.64,MS.HUB
1/3/2023 12:00:00 PM,30.15,TEXAS.HUB
1/3/2023 12:00:00 PM,29.36,ARKANSAS.HUB
1/3/2023 12:00:00 PM,30.81,ILLINOIS.HUB
1/3/2023 12:00:00 PM,32.19,INDIANA.HUB
1/3/2023 1:00:00 PM,38.29,MICHIGAN.HUB
1/3/2023 1:00:00 PM,36.77,MINN.HUB
1/3/2023 1:00:00 PM,36.47,MS.HUB
1/3/2023 1:00:00 PM,35.87,TEXAS.HUB
1/3/2023 1:00:00 PM,34.87,ARKANSAS.HUB
1/3/2023 1:00:00 PM,36.55,ILLINOIS.HUB
1/3/2023 1:00:00 PM,38.33,INDIANA.HUB
1/3/2023 1:00:00 PM,37.15,LOUISIANA.HUB
1/3/2023 2:00:00 PM,36.37,ILLINOIS.HUB
1/3/2023 2:00:00 PM,38.05,INDIANA.HUB
1/3/2023 2:00:00 PM,37.07,LOUISIANA.HUB
1/3/2023 2:00:00 PM,38.09,MICHIGAN.HUB
